month,day,data,median,LB,UB
6,9,3,3,NaN,NaN
6,16,6,6,NaN,NaN
6,23,11,11,NaN,NaN
6,30,58,58,NaN,NaN
7,7,141,141,NaN,NaN
7,14,165,165,NaN,NaN
7,21,312,312,NaN,NaN
7,28,778,778,NaN,NaN
8,4,819,819,NaN,NaN
8,11,692,692,NaN,NaN
8,18,911,911,NaN,NaN
8,25,797,797,NaN,NaN
9,1,832,832,NaN,NaN
9,8,604,604,NaN,NaN
9,15,890,890,NaN,NaN
9,22,515,515,NaN,NaN
9,29,495,495,NaN,NaN
10,6,432,432,NaN,NaN
10,13,264,264,NaN,NaN
10,20,301,301,NaN,NaN
10,27,200,200,NaN,NaN
11,3,184.002180922506,184.002180922506,0,533.882585726855
11,10,169.284012921193,169.284012921193,0,644.712144446223
11,17,155.743137864066,155.743137864066,0,715.862982224289
11,24,143.285385153513,143.285385153513,0,766.155558941756
