month,day,data,median,LB,UB
6,2,81,81,NaN,NaN
6,9,73,73,NaN,NaN
6,16,26,26,NaN,NaN
6,23,95,95,NaN,NaN
6,30,83,83,NaN,NaN
7,7,119,119,NaN,NaN
7,14,127,127,NaN,NaN
7,21,140,140,NaN,NaN
7,28,59,59,NaN,NaN
8,4,187,187,NaN,NaN
8,11,69,69,NaN,NaN
8,18,109,109,NaN,NaN
8,25,60,60,NaN,NaN
9,1,61,61,NaN,NaN
9,8,32,32,NaN,NaN
9,15,42,42,NaN,NaN
9,22,26,26,NaN,NaN
9,29,11,11,NaN,NaN
10,6,11,11,NaN,NaN
10,13,0,0,NaN,NaN
10,20,26,26,NaN,NaN
10,27,0,0,NaN,NaN
11,3,18.3729636771232,18.3729636771232,0,86.7363313979863
11,10,5.38966389708904,5.38966389708904,0,76.6337657321384
11,17,14.5643444843109,14.5643444843109,0,104.076884674572
11,24,8.08103397745573,8.08103397745573,0,102.508821481177
