month,day,data,median,LB,UB
5,5,1,1,NaN,NaN
5,12,8,8,NaN,NaN
5,19,62,62,NaN,NaN
5,26,125,125,NaN,NaN
6,2,125,125,NaN,NaN
6,9,203,203,NaN,NaN
6,16,269,269,NaN,NaN
6,23,283,283,NaN,NaN
6,30,275,275,NaN,NaN
7,7,384,384,NaN,NaN
7,14,402,402,NaN,NaN
7,21,295,295,NaN,NaN
7,28,327,327,NaN,NaN
8,4,258,258,NaN,NaN
8,11,38,38,NaN,NaN
8,18,285,285,NaN,NaN
8,25,73,73,NaN,NaN
9,1,71,71,NaN,NaN
9,8,68,68,NaN,NaN
9,15,33,33,NaN,NaN
9,22,50,50,NaN,NaN
9,29,19,19,NaN,NaN
10,6,0,0,NaN,NaN
10,13,32,32,NaN,NaN
10,20,12,12,NaN,NaN
10,27,3,3,NaN,NaN
11,3,6.76084596009938,6.76084596009938,0,170.275477267987
11,10,5.18929458947762,5.18929458947762,0,194.391570143895
11,17,5.84600154762112,5.84600154762112,0,231.918585605355
11,24,5.57158224645411,5.57158224645411,0,257.781340822232
