month,day,data,median,LB,UB
8,25,797,797,797,797
9,1,832,761.215825306285,494.002019336374,1019.39402522789
9,8,604,770.591182848275,531.087080416786,1013.57410594444
9,15,890,708.190064483279,469.691526185296,949.365631922895
9,22,515,612.619636673587,376.209217745976,845.826122699246
9,29,495,507.164417857453,279.273325618332,741.156859214256
10,6,432,406.597365025148,168.71235355415,641.591418441166
10,13,264,319.251375422402,86.8676102295329,550.953723032144
10,20,301,243.885861098177,16.4232730096192,477.338295051654
10,27,200,187.158006131257,-0,425.870645699805
11,3,NaN,138.59896001928,-0,373.182192489764
11,10,NaN,110.442830725837,-0,340.090963919747
11,17,NaN,81.770981724174,-0,304.733812133925
11,24,NaN,62.5615370397882,-0,291.223826928229
