month,day,data,median,LB,UB
8,25,73,73,73,73
9,1,71,66.52425511002,31.5446040804935,101.450489928784
9,8,68,64.6777098745948,31.5127636536508,97.7816805621525
9,15,33,52.170805847845,21.6746276170784,84.7781825519343
9,22,50,36.8858624782328,6.85042528660601,67.5336185416362
9,29,19,24.8244135931736,-0,54.4710703966216
10,6,0,15.680866779999,-0,45.8275034007666
10,13,32,9.49491407004592,-0,39.6046771365743
10,20,12,6.52254865706585,-0,35.6118223774508
10,27,3,4.03182334702335,-0,32.7474283955958
11,3,NaN,2.78319603846102,-0,30.7066145077813
11,10,NaN,2.05989211435107,-0,29.8998090582262
11,17,NaN,0.964049080133177,-0,28.6195351398494
11,24,NaN,0.740498067325371,-0,28.0666062936987
