month,day,data,median,LB,UB
8,25,658,658,658,658
9,1,173,171.675985291674,120.907695677468,222.502820860366
9,8,113,122.476627290591,79.6164066076808,165.247032751758
9,15,110,86.5348067667223,41.4932697639625,128.403370050434
9,22,27,59.6830335850953,16.2983914122781,101.247991466647
9,29,29,41.1518778280972,-0,82.4449252477058
10,6,44,27.6239222198798,-0,69.8142187790538
10,13,41,19.6486577486276,-0,60.3947006677891
10,20,10,13.7849964410239,-0,53.4240333139545
10,27,0,9.1194709520699,-0,48.6133813654779
11,3,NaN,6.29580597678987,-0,46.578786383778
11,10,NaN,4.6167339354801,-0,43.0010701506236
11,17,NaN,3.42560644152587,-0,42.3431618612443
11,24,NaN,2.23935291581957,-0,39.4956756034475
