month,day,data,median,LB,UB
8,25,117,117,117,117
9,1,44,42.2406929283485,33.3640973364129,51.4670852937583
9,8,37,40.4294555526765,31.6213787611075,49.2304371313883
9,15,37,35.0888232013465,26.4238888640532,43.6690488050353
9,22,30,27.729482503295,19.3095985208079,36.1987873618884
9,29,16,20.5280706091187,12.2587815810759,28.9197728513324
10,6,20,14.3472621185142,6.29534458559812,22.6763112824923
10,13,5,9.66432036075062,1.60517413694251,17.5198204209847
10,20,6,6.24326263779141,-0,14.3963049691975
10,27,6,4.07692777064713,-0,12.1180539512106
11,3,NaN,2.66237243117648,-0,10.3361511391239
11,10,NaN,1.81394662875208,-0,9.45663838000942
11,17,NaN,1.19415970945885,-0,8.82150398556765
11,24,NaN,0.825985369357861,-0,8.15699704904078
