month,day,data,median,LB,UB
8,25,259,259,259,259
9,1,206,198.816399978363,151.918363929502,247.365429153007
9,8,198,191.285059044825,146.390922108449,237.161862763687
9,15,136,144.427960545397,100.917185353947,188.550493804755
9,22,66,91.4355417856162,49.5567401315813,132.895520552222
9,29,60,51.9022268309867,11.2860349964477,92.1775433108004
10,6,30,27.9888814439483,-0,67.539780312099
10,13,38,14.9882519094291,-0,53.4848866436896
10,20,40,7.50435711697811,-0,45.5980068134263
10,27,0,3.94493257723111,-0,41.6226308992612
11,3,NaN,2.61510540859215,-0,40.7513727219223
11,10,NaN,1.25299518795607,-0,37.6743928490792
11,17,NaN,0.1604815795918,-0,37.0888648243059
11,24,NaN,0.543000495748033,-0,36.4859684981571
