month,day,data,median,LB,UB
8,25,2638,2638,2638,2638
9,1,1857,1816.34489914241,983.911753692613,2720.34270566961
9,8,1983,2013.8898055573,1140.88184733771,2833.6366957342
9,15,2206,1895.31202599782,1022.9115976679,2720.96862600497
9,22,1129,1561.50179495547,744.784665099554,2382.30644266039
9,29,1554,1160.18543017111,343.673857430692,1972.96734643547
10,6,201,811.811518203667,19.748210938179,1610.42059790977
10,13,773,539.24272463548,-0,1356.50870185894
10,20,442,357.132556921719,-0,1145.35473246993
10,27,512,232.831478395662,-0,1029.61419164491
11,3,NaN,147.897398044094,-0,942.597593195394
11,10,NaN,90.4364845759237,-0,843.884228119314
11,17,NaN,60.8576036366496,-0,812.938715451955
11,24,NaN,43.8746135873425,-0,799.789621221166
