month,day,data,median,LB,UB
8,25,6006,6006,6006,6006
9,1,4324,4255.52758756152,2864.1226083657,5654.20906565203
9,8,4326,4585.18303166461,3298.66062075898,5874.27546120418
9,15,5091,4400.48632773687,3096.1719952151,5651.15548799992
9,22,3339,3909.23857366324,2666.3448670076,5179.10842948303
9,29,3440,3221.74962419292,1963.92554567773,4465.72826603767
10,6,1533,2549.84317847096,1251.63504984378,3762.92583772219
10,13,2619,1947.29434158977,671.744122615124,3231.19130587935
10,20,1625,1467.52758434353,193.566237432679,2725.08064901901
10,27,1165,1085.51940309063,-0,2340.46691970187
11,3,NaN,781.945140308121,-0,2059.55487592314
11,10,NaN,569.284133256213,-0,1798.77346330283
11,17,NaN,391.515580718267,-0,1596.14763614833
11,24,NaN,290.146592504577,-0,1485.77489766422
