month,day,data,median,LB,UB
5,19,5,5,NaN,NaN
5,26,12,12,NaN,NaN
6,2,49,49,NaN,NaN
6,9,59,59,NaN,NaN
6,16,152,152,NaN,NaN
6,23,163,163,NaN,NaN
6,30,137,137,NaN,NaN
7,7,144,144,NaN,NaN
7,14,191,191,NaN,NaN
7,21,655,655,NaN,NaN
7,28,487,487,NaN,NaN
8,4,369,369,NaN,NaN
8,11,326,326,NaN,NaN
8,18,140,140,NaN,NaN
8,25,658,658,NaN,NaN
9,1,173,173,NaN,NaN
9,8,113,113,NaN,NaN
9,15,110,110,NaN,NaN
9,22,27,27,NaN,NaN
9,29,29,29,NaN,NaN
10,6,44,44,NaN,NaN
10,13,41,41,NaN,NaN
10,20,10,10,NaN,NaN
10,27,0,0,NaN,NaN
11,3,78.7485566537607,78.7485566537607,0,412.495115515783
11,10,118.156832300495,118.156832300495,0,491.361287774017
11,17,137.877983461109,137.877983461109,0,520.32708273214
11,24,147.747073055037,147.747073055037,0,532.476546462917
