month,day,data,median,LB,UB
5,19,10,10,NaN,NaN
5,26,34,34,NaN,NaN
6,2,69,69,NaN,NaN
6,9,150,150,NaN,NaN
6,16,258,258,NaN,NaN
6,23,353,353,NaN,NaN
6,30,430,430,NaN,NaN
7,7,390,390,NaN,NaN
7,14,416,416,NaN,NaN
7,21,349,349,NaN,NaN
7,28,265,265,NaN,NaN
8,4,301,301,NaN,NaN
8,11,162,162,NaN,NaN
8,18,163,163,NaN,NaN
8,25,117,117,NaN,NaN
9,1,44,44,NaN,NaN
9,8,37,37,NaN,NaN
9,15,37,37,NaN,NaN
9,22,30,30,NaN,NaN
9,29,16,16,NaN,NaN
10,6,20,20,NaN,NaN
10,13,5,5,NaN,NaN
10,20,6,6,NaN,NaN
10,27,6,6,NaN,NaN
11,3,6,6,0,119.698478653332
11,10,6,6,0,166.79393053273
11,17,6,6,0,202.931541770856
11,24,6,6,0,233.396957306664
