month,day,data,median,LB,UB
5,12,0,0,NaN,NaN
5,19,40,40,NaN,NaN
5,26,102,102,NaN,NaN
6,2,56,56,NaN,NaN
6,9,115,115,NaN,NaN
6,16,207,207,NaN,NaN
6,23,280,280,NaN,NaN
6,30,677,677,NaN,NaN
7,7,970,970,NaN,NaN
7,14,678,678,NaN,NaN
7,21,613,613,NaN,NaN
7,28,839,839,NaN,NaN
8,4,585,585,NaN,NaN
8,11,630,630,NaN,NaN
8,18,492,492,NaN,NaN
8,25,259,259,NaN,NaN
9,1,206,206,NaN,NaN
9,8,198,198,NaN,NaN
9,15,136,136,NaN,NaN
9,22,66,66,NaN,NaN
9,29,60,60,NaN,NaN
10,6,30,30,NaN,NaN
10,13,38,38,NaN,NaN
10,20,40,40,NaN,NaN
10,27,0,0,NaN,NaN
11,3,0,0,0,295.967806537445
11,10,0,0,0,399.634439304781
11,17,0,0,0,468.049165975584
11,24,0,0,0,517.627022103843
