month,day,data,median,LB,UB
6,2,32,32,NaN,NaN
6,9,33,33,NaN,NaN
6,16,48,48,NaN,NaN
6,23,131,131,NaN,NaN
6,30,216,216,NaN,NaN
7,7,405,405,NaN,NaN
7,14,1100,1100,NaN,NaN
7,21,1513,1513,NaN,NaN
7,28,2347,2347,NaN,NaN
8,4,3077,3077,NaN,NaN
8,11,3013,3013,NaN,NaN
8,18,3441,3441,NaN,NaN
8,25,2638,2638,NaN,NaN
9,1,1857,1857,NaN,NaN
9,8,1983,1983,NaN,NaN
9,15,2206,2206,NaN,NaN
9,22,1129,1129,NaN,NaN
9,29,1554,1554,NaN,NaN
10,6,201,201,NaN,NaN
10,13,773,773,NaN,NaN
10,20,442,442,NaN,NaN
10,27,512,512,NaN,NaN
11,3,469.824663908791,469.824663908791,0,1595.18511634303
11,10,431.123466439469,431.123466439469,0,1958.48181824596
11,17,395.610229927962,395.610229927962,0,2193.04235913119
11,24,363.022350224188,363.022350224188,0,2359.73484953355
