month,day,data,median,LB,UB
4,28,0,0,NaN,NaN
5,5,1,1,NaN,NaN
5,12,19,19,NaN,NaN
5,19,222,222,NaN,NaN
5,26,374,374,NaN,NaN
6,2,572,572,NaN,NaN
6,9,860,860,NaN,NaN
6,16,1265,1265,NaN,NaN
6,23,1776,1776,NaN,NaN
6,30,2395,2395,NaN,NaN
7,7,3139,3139,NaN,NaN
7,14,3893,3893,NaN,NaN
7,21,4647,4647,NaN,NaN
7,28,5889,5889,NaN,NaN
8,4,6597,6597,NaN,NaN
8,11,6072,6072,NaN,NaN
8,18,6729,6729,NaN,NaN
8,25,6006,6006,NaN,NaN
9,1,4324,4324,NaN,NaN
9,8,4326,4326,NaN,NaN
9,15,5091,5091,NaN,NaN
9,22,3339,3339,NaN,NaN
9,29,3440,3440,NaN,NaN
10,6,1533,1533,NaN,NaN
10,13,2619,2619,NaN,NaN
10,20,1625,1625,NaN,NaN
10,27,1165,1165,NaN,NaN
11,3,800.627414353023,800.627414353023,0,2425.25991530465
11,10,396.37062471392,396.37062471392,0,2678.0134262639
11,17,0,0,0,3214.98260004944
11,24,0,0,0,3957.22568374022
