month,day,data,median,LB,UB
8,25,797,797,797,797
9,1,832,761.215825306285,493.43246001771,1019.44281320495
9,8,604,770.591182848275,531.003052372612,1013.59805698274
9,15,890,708.190064483279,469.610254572876,949.484598730784
9,22,515,612.619636673587,376.13145548955,845.864018009107
9,29,495,507.164417857453,279.23634110891,741.298954778808
10,6,432,406.597365025148,168.499957293393,641.620838219595
10,13,264,319.251375422402,86.3134706302678,551.04888716649
10,20,301,243.885861098177,16.361977946033,477.387445932195
10,27,200,187.158006131257,-0,425.930234893239
11,3,NaN,138.59896001928,-0,373.203244521152
11,10,NaN,110.442830725837,-0,340.142790769386
11,17,NaN,81.770981724174,-0,305.136921356801
11,24,NaN,62.5615370397882,-0,291.243672466962
