month,day,data,median,LB,UB
8,25,60,60,60,60
9,1,61,59.2957096520474,20.8911497915823,100.848806824802
9,8,32,44.9503722799218,9.71559672629621,85.5127900388304
9,15,42,37.3289228849191,-0,80.1063305461224
9,22,26,25.4532725273608,-0,63.7152251788884
9,29,11,16.2713526503206,-0,51.3293751886292
10,6,11,11.7587978562012,-0,44.1736472579199
10,13,0,9.05100404781773,-0,42.469105114155
10,20,26,7.46755802908785,-0,39.343430210654
10,27,0,6.06380933668312,-0,40.5480026569968
11,3,NaN,5.02173052446387,-0,41.522248510472
11,10,NaN,4.8498348749067,-0,42.5098623837381
11,17,NaN,3.98018736632952,-0,43.1540929351246
11,24,NaN,3.14591943803834,-0,44.7830209117572
