month,day,data,median,LB,UB
8,25,73,73,73,73
9,1,71,66.52425511002,31.5026068741139,101.528125982566
9,8,68,64.6777098745948,31.4984934675406,97.8128419399238
9,15,33,52.170805847845,21.6331466321514,84.7879652757852
9,22,50,36.8858624782328,6.82613718487213,67.5394284437184
9,29,19,24.8244135931736,-0,54.4854043747779
10,6,0,15.680866779999,-0,45.8421640249594
10,13,32,9.49491407004592,-0,39.6149572412721
10,20,12,6.52254865706585,-0,35.6187478437379
10,27,3,4.03182334702335,-0,32.7551053086238
11,3,NaN,2.78319603846102,-0,30.7072930195704
11,10,NaN,2.05989211435107,-0,29.9025604520987
11,17,NaN,0.964049080133177,-0,28.6450226694343
11,24,NaN,0.740498067325371,-0,28.0938971739248
