month,day,data,median,LB,UB
8,25,658,658,658,658
9,1,173,171.675985291674,120.902850581372,222.513626047096
9,8,113,122.476627290591,79.5885710083383,165.318310696096
9,15,110,86.5348067667223,41.485496756852,128.46879050045
9,22,27,59.6830335850953,16.2947327848825,101.305950865649
9,29,29,41.1518778280972,-0,82.4678007030675
10,6,44,27.6239222198798,-0,69.8523328403938
10,13,41,19.6486577486276,-0,60.410265340784
10,20,10,13.7849964410239,-0,53.4412289648167
10,27,0,9.1194709520699,-0,48.6410069572187
11,3,NaN,6.29580597678987,-0,46.5789878698083
11,10,NaN,4.6167339354801,-0,43.083050877393
11,17,NaN,3.42560644152587,-0,42.3591403487072
11,24,NaN,2.23935291581957,-0,39.5159481707115
