month,day,data,median,LB,UB
8,25,259,259,259,259
9,1,206,198.816399978363,151.904363475801,247.371164376133
9,8,198,191.285059044825,146.38128322743,237.256530357002
9,15,136,144.427960545397,100.882439127801,188.555604534332
9,22,66,91.4355417856162,49.5525144076601,132.915835020449
9,29,60,51.9022268309867,11.2802978019739,92.1903204861043
10,6,30,27.9888814439483,-0,67.5621987950991
10,13,38,14.9882519094291,-0,53.5379623929276
10,20,40,7.50435711697811,-0,45.609056359636
10,27,0,3.94493257723111,-0,41.6679618564467
11,3,NaN,2.61510540859215,-0,40.7883655967177
11,10,NaN,1.25299518795607,-0,37.712056477528
11,17,NaN,0.1604815795918,-0,37.1745831917074
11,24,NaN,0.543000495748033,-0,36.5065087012412
