month,day,data,median,LB,UB
8,25,2638,2638,2638,2638
9,1,1857,1919.3895784515,772.722053714873,3140.97537925783
9,8,1983,2145.22058948865,942.563426810472,3355.59512968809
9,15,2206,1945.96033115179,787.221882138813,3127.55088758105
9,22,1129,1504.03010783763,342.718005072346,2672.83295894867
9,29,1554,1047.11527895327,-0,2196.78412938608
10,6,201,727.660725471615,-0,1854.1098617015
10,13,773,546.202457060611,-0,1633.72705718788
10,20,442,501.248578268596,-0,1636.91187912284
10,27,512,581.451899426372,-0,1877.92604639465
11,3,NaN,728.423616017913,-0,2960.61840777632
11,10,NaN,766.341488634919,-0,6285.13945605185
11,17,NaN,780.04772236096,-0,16979.2724183116
11,24,NaN,759.493208541106,-0,47433.4925847786
