month,day,data,median,LB,UB
8,25,6006,6006,6006,6006
9,1,4324,4085.5217981714,2140.04068388953,6099.53368711824
9,8,4326,4761.893703652,2682.80292562806,6818.55959499853
9,15,5091,4581.23081764442,2679.78627524488,6599.95685151562
9,22,3339,3776.31539788882,1910.42228202829,5743.28649011947
9,29,3440,2955.42060298713,1033.41761791624,4915.91194853016
10,6,1533,2280.328546442,474.83333381409,4189.18600006162
10,13,2619,1823.94076913585,-0,3751.87069461837
10,20,1625,1584.78822994003,-0,3530.55837397239
10,27,1165,1472.90689092525,-0,3768.14503218489
11,3,NaN,1433.04903412663,-0,4705.51766002707
11,10,NaN,1415.01639169663,-0,6514.92229680412
11,17,NaN,1380.9857950535,-0,6244.324362945
11,24,NaN,1331.17024368396,-0,5117.66209772402
