year,month,day,data,median,LB,UB
2022,9,15,2206,2206,2206,2206
2022,9,22,1129,1146.20125133178,531.425156553667,1784.33376817477
2022,9,29,1224,932.107153910261,382.52104068877,1485.71741809505
2022,10,6,201,749.063123443517,197.05783486521,1304.82829953388
2022,10,13,773,602.466101462001,39.0272619640424,1126.04464746037
2022,10,20,442,474.781419149832,-0,1013.33588796204
2022,10,27,512,368.45132750014,-0,905.934335497587
2022,11,3,211,295.541126101527,-0,816.715721720186
2022,11,10,269,228.505231445472,-0,753.626897716854
2022,11,17,200,186.640658447417,-0,708.523565225791
2022,11,24,NaN,145.386014452341,-0,682.935843510337
2022,12,1,NaN,112.559570926146,-0,630.1877588818
2022,12,8,NaN,95.1940868958828,-0,607.935972301506
2022,12,15,NaN,74.6490908602247,-0,600.534013123675
