year,month,day,data,median,LB,UB
2022,9,15,5091,5091,5091,5091
2022,9,22,3339,3209.22958716697,2103.53584372,4292.91355822404
2022,9,29,3110,2837.8973268018,1854.68595343655,3808.54220266161
2022,10,6,1544,2445.50912118771,1542.63337211487,3347.40067903234
2022,10,13,2607,2069.19511328083,1202.49114735447,2942.27082215222
2022,10,20,1624,1701.51147826908,792.749420161076,2584.96446960888
2022,10,27,1165,1423.2986565858,536.297331865057,2311.13821650302
2022,11,3,1305,1163.00080583901,268.132634713453,2095.69590111824
2022,11,10,1105,951.538126850267,47.5979670727097,1858.57738147199
2022,11,17,845,795.793137728796,-0,1719.86234387694
2022,11,24,NaN,632.949897300988,-0,1562.18211040158
2022,12,1,NaN,517.17166099752,-0,1405.1365519877
2022,12,8,NaN,439.791255243543,-0,1340.00346729864
2022,12,15,NaN,364.492669742786,-0,1232.56102946876
