year,month,day,data,median,LB,UB
2022,9,22,66,66,66,66
2022,9,29,60,45.3828765466348,-0,91.0421525865066
2022,10,6,30,41.391748673842,-0,85.2913373629418
2022,10,13,38,37.8001813459546,-0,80.13202748032
2022,10,20,40,32.3805867518228,-0,74.5452081095527
2022,10,27,0,26.9193254705266,-0,70.8290115838619
2022,11,3,19,22.6458737321445,-0,64.232351007054
2022,11,10,56,18.8593877016718,-0,60.2481214164767
2022,11,17,13,14.8406320932346,-0,58.2287880418083
2022,11,24,3,12.468517378919,-0,54.5866087966681
2022,12,1,NaN,11.1193669596179,-0,53.6955434349408
2022,12,8,NaN,9.03045935799679,-0,50.0950997721534
2022,12,15,NaN,8.73468929845565,-0,50.6779948424332
2022,12,22,NaN,6.6240020891436,-0,48.4480627246769
