year,month,day,data,median,LB,UB
2022,9,22,515,515,515,515
2022,9,29,495,504.496988928013,358.866964130371,654.704829995807
2022,10,6,432,416.980425783003,289.43240813619,550.705814701366
2022,10,13,264,301.102140664946,169.15350885102,435.913820665407
2022,10,20,301,243.338414042278,121.469843264063,369.999857752603
2022,10,27,200,232.79681126209,103.328722639469,362.168338592902
2022,11,3,249,230.521541004862,102.808993018592,364.222155477193
2022,11,10,180,213.860118930886,83.0642292722742,345.907875032175
2022,11,17,221,176.304683681854,47.0850592049855,308.625322618814
2022,11,24,122,138.539740276153,4.45662939182547,271.708721314172
2022,12,1,NaN,99.7696104352965,-0,255.045153957396
2022,12,8,NaN,73.797272629976,-0,235.332378019143
2022,12,15,NaN,54.6889359176634,-0,220.554686223307
2022,12,22,NaN,40.7248230264101,-0,208.354823512333
