year,month,day,data,median,LB,UB
2022,9,22,50,50,50,50
2022,9,29,19,8.73953710626865,-0,28.8196108566996
2022,10,6,0,9.19453237707618,-0,35.7524467415838
2022,10,13,32,13.9135577871573,-0,54.5292899083668
2022,10,20,12,23.3166522984964,-0,52.9297825391155
2022,10,27,3,9.64754453223941,-0,31.8143125045346
2022,11,3,0,9.13199759346108,-0,30.2127595800641
2022,11,10,9,9.37407905102426,-0,30.0536537592376
2022,11,17,10,9.40379476806447,-0,29.7788476968926
2022,11,24,5,9.62507204432019,-0,30.6258895526181
2022,12,1,NaN,9.73059296475686,-0,30.7570230195861
2022,12,8,NaN,9.7600600639334,-0,31.3536149221412
2022,12,15,NaN,9.73930721383909,-0,32.1337627496463
2022,12,22,NaN,9.84892695498653,-0,32.6386289882171
