year,month,day,data,median,LB,UB
2022,9,29,1224,1224,1224,1224
2022,10,6,201,477.059721039216,73.7117118453964,871.41088657418
2022,10,13,773,494.248770208165,83.22406741108,905.262820549564
2022,10,20,442,479.932930530505,78.4122918087047,865.970428468125
2022,10,27,512,434.743412282243,50.3513938433524,813.277425594507
2022,11,3,211,361.560389537223,-0,740.854704750116
2022,11,10,269,295.701636438468,-0,668.746725080331
2022,11,17,200,232.336481712313,-0,609.570401611024
2022,11,24,126,179.826614157523,-0,556.19777479787
2022,12,1,305,133.550968137638,-0,528.749571470114
2022,12,8,NaN,103.101066174963,-0,492.609419074687
2022,12,15,NaN,77.5356730388112,-0,469.844619734053
2022,12,22,NaN,59.1069749724191,-0,444.369137685174
2022,12,29,NaN,50.0015682866527,-0,430.67612911397
