year,month,day,data,median,LB,UB
2022,9,29,3110,3110,3110,3110
2022,10,6,1544,1927.48314659058,911.781852949424,2900.98307771215
2022,10,13,2607,2041.44499804959,1035.05322755584,3032.40548108651
2022,10,20,1624,1819.74750814992,912.732456443303,2736.28109984355
2022,10,27,1165,1429.48591891717,494.770902364294,2402.86949321422
2022,11,3,1305,1145.60590964228,190.162167690679,2069.77447202925
2022,11,10,1106,968.256321207948,18.4356284518044,1918.50641850479
2022,11,17,845,836.856238544809,-0,1769.67082849942
2022,11,24,750,762.639383764201,-0,1720.99910274174
2022,12,1,605,729.685442843204,-0,1808.08480048188
2022,12,8,NaN,702.273476273597,-0,2022.35141265241
2022,12,15,NaN,691.167141656074,-0,2343.7003859484
2022,12,22,NaN,663.838094707162,-0,2132.36912219798
2022,12,29,NaN,630.929774200015,-0,1990.26381912218
